temperature,wind,rain,month,year
1.48,3.86,34.68,4,2013
11.85,4.00,24.65,5,2013
16.35,3.42,71.23,6,2013
16.28,3.44,55.50,7,2013
15.55,2.91,78.08,8,2013
10.88,3.33,32.58,9,2013
4.40,4.81,60.73,10,2013
0.35,5.13,68.30,11,2013
-1.80,5.47,61.05,12,2013
-10.05,4.25,25.35,1,2014
-1.30,4.20,28.10,2,2014
0.00,4.86,28.98,3,2014
3.38,4.49,18.45,4,2014
8.83,4.11,70.43,5,2014
12.35,4.05,54.35,6,2014
19.20,3.25,72.60,7,2014
15.90,3.80,98.77,8,2014
10.53,4.44,36.95,9,2014
3.10,4.66,48.30,10,2014
-0.43,4.07,53.93,11,2014
-3.40,4.94,55.88,12,2014
-6.65,4.83,59.68,1,2015
-2.15,5.51,19.68,2,2015
0.25,5.10,45.55,3,2015
3.38,4.58,36.38,4,2015
8.35,4.42,71.95,5,2015
12.13,4.95,92.95,6,2015
14.55,3.81,89.55,7,2015
15.58,3.66,55.05,8,2015
11.50,4.23,68.15,9,2015
4.05,4.62,26.85,10,2015
2.28,5.18,62.90,11,2015
-1.48,5.28,56.10,12,2015
-13.28,4.10,37.50,1,2016
-2.90,4.29,64.85,2,2016
-1.28,3.74,10.25,3,2016
3.28,3.73,52.43,4,2016
11.78,3.40,19.58,5,2016
14.03,4.34,99.30,6,2016
17.28,3.68,81.83,7,2016
14.48,4.45,98.75,8,2016
10.80,4.12,49.85,9,2016
3.45,4.11,17.63,10,2016
-2.73,4.81,55.65,11,2016
-3.60,4.82,27.65,12,2016
-5.18,5.18,19.18,1,2017
-5.88,3.95,27.68,2,2017
-1.68,4.50,32.10,3,2017
0.35,4.17,38.03,4,2017
6.30,4.13,19.15,5,2017
12.45,4.46,56.38,6,2017
15.28,3.82,63.43,7,2017
14.23,4.22,70.73,8,2017
9.55,3.60,52.78,9,2017
3.50,4.39,87.65,10,2017
0.13,4.73,64.63,11,2017
-2.80,4.62,78.18,12,2017
-5.83,4.25,38.50,1,2018
-11.13,3.65,13.33,2,2018
-7.10,3.93,24.30,3,2018
2.70,3.53,41.50,4,2018
12.88,4.14,17.53,5,2018
13.40,5.03,60.98,6,2018
20.53,3.72,39.45,7,2018
16.40,4.35,68.45,8,2018
11.15,4.87,61.38,9,2018
4.15,4.73,38.28,10,2018
1.55,5.25,28.80,11,2018
-4.23,4.67,37.33,12,2018
-10.35,4.16,40.73,1,2019
-4.85,5.48,40.58,2,2019
-2.83,5.36,44.23,3,2019
4.63,3.60,7.18,4,2019
8.28,4.72,62.08,5,2019
15.35,4.84,40.18,6,2019
15.45,3.98,35.43,7,2019
15.03,4.20,46.30,8,2019
9.63,4.23,60.63,9,2019
2.38,4.38,75.60,10,2019
-2.03,4.25,73.58,11,2019
-1.25,5.01,55.83,12,2019
-1.78,6.08,47.23,1,2020
-2.93,5.68,52.25,2,2020
-1.05,5.49,36.48,3,2020
1.73,5.05,32.75,4,2020
7.48,4.34,35.03,5,2020
17.33,4.23,58.75,6,2020
15.65,4.15,82.58,7,2020
15.20,3.98,45.30,8,2020
10.95,5.20,79.18,9,2020
6.20,4.57,81.78,10,2020
2.53,5.95,57.48,11,2020
-1.23,5.08,44.35,12,2020
-8.03,4.11,50.45,1,2021
-10.53,3.84,32.13,2,2021
-2.58,4.97,24.43,3,2021
2.88,4.76,31.10,4,2021
8.18,4.34,69.45,5,2021
17.65,3.98,52.93,6,2021
19.45,4.48,38.80,7,2021
14.10,4.59,123.45,8,2021
8.13,4.66,38.40,9,2021
5.80,5.53,99.73,10,2021
-1.70,4.65,40.05,11,2021
-9.08,4.42,23.73,12,2021
-6.50,5.51,41.43,1,2022
-5.45,4.79,56.70,2,2022
-1.35,4.51,13.00,3,2022
1.90,4.07,32.25,4,2022
8.53,4.63,48.20,5,2022
15.78,4.48,57.65,6,2022
17.18,4.21,84.48,7,2022
16.83,4.45,76.85,8,2022
8.65,4.06,34.35,9,2022
5.70,5.02,56.83,10,2022
